,left,right,forward
[305285245],0.06798140895367685,0.0,0.0
[310285245],0.0,0.057,0.0
[195380400],0.03,0.0,0.0
[300275225],-1.8214067808998309,0.15257950319232222,-1.0
[320315330],-0.39093890090408256,0.595936320908502,-0.5914438042130029
[225280315],0.27766026736743626,-0.91115623,-0.6886693072540195
[305330355],0.9206997584431807,0.0,0.0
[220275315],0.1776365872167,-1.0,-1.0
[235300335],0.0,-0.8271599616024139,-0.815383
[230300335],0.036956799476755085,0.0,-1.0
[230295325],0.229566044601258,-0.8673,0.0
[315315350],1.1596029565690067,0.2299826271377019,-1.0
[305325345],0.6074372476754734,0.3083373243845968,0.2154788604383749
[300325350],0.057,0.18155961479665075,1.2169796849734271
[235250315],0.0,0.3404256333996598,0.0
[230250310],0.11523274485093962,-0.9045462544030746,0.0
[310325350],0.8776787684911267,0.23023812030469004,-1.0
[300320345],0.38254257396151337,0.0,-0.81487
[295320340],0.2886909341774579,0.0,0.0
[300325340],0.0,0.3748463783781291,-0.9578297559176492
[320310290],-0.965683,0.5418553183388362,0.0
[295325345],0.4064391031242993,0.266094911267194,-1.0
[310325340],0.3106326649255948,1.6388728918050242,-0.056378763992620325
[310320345],0.35644671042902865,3.2487241716761344,0.4612555478874437
[300285250],0.11287719039875882,0.2016544301027718,-1.0
[315295260],0.0,0.15784014946104405,0.0
[325300255],-1.0,0.0,0.0
[310325335],0.5728500119616835,0.0,0.0
[305320335],0.6130532332880766,0.03513,-1.7169631815341566
[215275320],0.12370690068899193,0.0,0.0
[365360230],0.0,0.11298297512357,0.0
[230255305],0.1646377192628406,0.0,-1.0
[245275345],0.0,0.0,0.0
[240280345],0.0,0.0,-1.0
[240295330],0.0,0.6685744024819137,-0.8168280751412996
[235280325],0.32078291363722444,0.0,-1.0
[240290320],0.38447757993506265,0.08671716751221364,-1.89487
[245300320],0.4531454584859842,-0.7421718521914022,-1.89487
[240295315],0.3400454056337038,-0.963233317,0.0
[235280305],0.32596385379433,0.06260313938674918,0.0
[360320220],0.0,0.0,0.56398853
[340350220],0.0,0.0,0.2
[320330305],0.0,0.06621745977481908,0.0
[235250300],0.0,0.3045956725161895,0.0
[320340345],0.810016996988412,0.0,0.4001979025396178
[225260315],0.0,0.22167977257247706,-1.0
[235275310],0.0,0.493785511999252,-1.0
[230270310],0.2863814200849131,-0.8119015290357918,0.0
[320330340],0.6370477276208538,0.21017510152373392,-0.6602272513207752
[325335340],0.1280910629717984,1.2555938517511411,-1.0
[305335340],0.0,0.1720011715396187,-1.0
[305335350],0.06910287264542142,1.068617856373726,-1.0
[300340345],0.0,0.26782292992205603,0.0
[330315305],0.048,1.2206698889966885,0.4509029870555069
[205210390],0.0,0.03,0.0
[395400395],2.6233737830963264,4.436618130454184,11.528160983409956
[400405405],0.13401302524000994,0.0,5.491036941628356
[395405400],4.4787916595222015,0.3072362433841925,0.0
[395400405],3.601764075443937,2.169840536430744,11.035005922094808
[395390390],3.2089802499418782,2.4114638096802223,7.445549752956778
[380385395],4.805091397347724,6.37315263333033,8.082303383630233
[390395375],1.9092071843491576,2.2384638966870263,8.040544920181876
[340400395],0.6502103579434355,0.03513,0.0
[315325335],1.008952127632258,0.08741978787751847,-0.9502042813742329
[290305340],0.03,0.7291238070798659,0.0
[310230270],0.0,0.0651609147,0.0
[290305345],0.0,0.0,1.4641792851288078
[280300340],0.19781246011453515,0.0730916244315488,0.0
[290210275],0.2689803584494385,0.0,0.0
[350355365],3.2729996822625,0.7442838635260991,0.5019966420366324
[390350330],0.0794154626041467,0.0,0.9244862902821641
[390375400],1.0167138892475078,0.08245124413465071,5.308860298698359
[375335405],0.0,0.0,0.2
[330305390],0.0,0.14897462788465715,0.0
[395385345],0.0,0.0,3.110371375953254
[390365330],1.9077258757475841,0.0,0.0
[345400395],0.2378925716272239,0.0,2.1477474662727647
[340320320],0.03,0.0,0.0
[375390390],2.47042255272194,3.0989714097888164,8.582308646976003
[385350320],1.2582160683510075,0.0,0.0
[350385400],4.4394850068126015,0.13872170538263184,1.8011898681510563
[350360380],2.902803495506438,3.1548992698641767,6.081522183368008
[350370375],0.30082344937361005,4.2666479089207865,0.7548655495350769
[350355375],2.073381138125042,3.644240647119717,5.565612593627528
[345380395],3.5832452177570056,0.29331912454024434,0.0
[345350375],1.8657890613700991,4.708960910778816,2.5035006671837605
[355375400],0.8349649447278633,6.323127651389741,0.5615410314635797
[350350375],3.59229967559396,3.1670357088621746,3.373003123266101
[350370370],0.0,0.0,3.4848305159513946
[325350350],0.0,0.5818296316412711,0.0
[335345365],0.5663594220083981,1.751212229032917,4.566420366595461
[345375395],0.0,6.015779511902664,1.1515731032197127
[395385350],0.0,0.0,2.608597343628058
[390390340],0.0,0.1824904990798044,4.631987530893523
[375400390],-0.34670189174493593,3.839416798645719,0.5475123638306372
[360395390],0.4352218782682225,0.9579410408325172,4.71770363235657
[355395390],3.0420619030074603,1.2659252479283591,0.0
[385395345],0.0,1.172430733293328,5.705898155362574
[365395395],0.9796951316913988,5.8180484067183045,0.9452340565467832
[300385390],0.0,0.0,1.8013328259003836
[280390390],0.6573674460427685,0.0,0.0
[375380240],0.0,0.03,0.0
[285390385],0.0,0.0,1.100840464198936
[375385390],3.617162135875703,5.16303142265277,8.660276668114923
[395385395],5.181754995657314,1.7349071106329703,2.2077286376288403
[380385380],4.921514941016335,3.459879319862748,3.529906025401356
